id,establishedYear,title,city,description,houseType,bhkType,address,shared,bedAvailable,roomAvailable,availableFor,bookingType,area(sq-fit),bathroomCount,furnishingType,facilities,minRent(Rs),minRoomRent(Rs),minRoomAdvance(Rs),lat,long,available_from,is_available
3814,,102 Dhawale Residency,pune,"Located at Dhavale Vasti, Pune, this cosy 2 BHK gated society apartment, which is priced at ₹5886 per bed with a security deposit of ₹11772.",Gated Society Apartment,2 BHK,ghorpadi,4,0,2,boys,bed,1100,1,fully_furnished,['Security'],5886,12686,25372,18.5260849,73.90890503,10/10/2023,TRUE
11845,,R K Plaza Flat No 202,hyderabad,"Looking for a charming 2 BHK independent house for family at an affordable price in Samata Nagar, Hyderabad? Then, this is right one for you.",Independent House,2 BHK,kukatpally,4,0,2,family,house,1400,1,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",8550,16100,32200,17.49905205,78.39269257,11/14/2023,TRUE
340222,2010,Satyam shivam_sion chunabhatti,mumbai,"Located at Chuna Bhatti, Mumbai, this cosy 4 BHK independent apartment, which is priced at ₹89000 for full house with a security deposit of ₹311500.",Independent Apartment,4 BHK,sion west,4,0,4,family,house,1200,2,fully_furnished,"['AC', 'Power Backup', 'Security', 'Washing Machine', 'Fridge']",22250,22250,77875,19.05217171,72.87525177,10/10/2023,TRUE
260247,2021,Kandula Vaidehi Nest_203,Bengaluru,"This spacious semi_furnished 1 BHK apartment for boys, girls, and family is located at Cauvery Nagar,Bengaluru and is close to the major commercial centres of the area.",Apartment,1 BHK,Murugeshpalya,1,0,1,"boys,girls,family",house,600,1,semi_furnished,[],19000,19000,57000,12.95870018,77.65540314,10/7/2023,TRUE
355316,2023,HNR Apartment-402,bengaluru,"This comfortable 1 BHK semi_furnished, house is located in the heart of Sbm Colony, Bengaluru. Priced at ₹10000 for full house.",Independent Apartment,1 BHK,mathikere,1,0,1,"boys,girls,family",house,500,1,semi_furnished,[],10000,10000,60000,13.03641701,77.55722046,10/7/2023,TRUE
27177,2010,5 BHK in GEMS PRIDE,hyderabad,"Looking for a spacious 5 BHK gated society apartment for boys at an affordable price in Begumpet Extension, Hyderabad? Then, this is right one for you.",Gated Society Apartment,5 BHK,begumpet,3,1,1,boys,bed,3000,1,fully_furnished,['Security'],7900,17000,34000,17.44695091,78.4633255,10/6/2023,TRUE
357893,2019,Pintu Agarwal Nest -303,bengaluru,"Looking for a quiet 1 BK independent apartment for boys at an affordable price in Someshwara Layout, Bengaluru? Then, this is right one for you.",Independent Apartment,1 BK,hulimavu,2,0,1,boys,bed,120,1,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",8000,16000,32000,12.8787756,77.60103607,10/7/2023,TRUE
342024,2017,V M Mansion 401,bengaluru,"This beautiful 1 BK semi_furnished, house is located in the heart of Yelahanka, Bengaluru. Priced at ₹7500 for full house.",Independent Apartment,1 BK,yelahanka,1,0,1,family,house,250,1,semi_furnished,[],7500,7500,22500,13.10428619,77.59770966,10/7/2023,TRUE
325162,2015,Mohammed Akbar Nest 102,bengaluru,"Located at Ejipura, Bengaluru, this cosy STUDIO independent house, which is priced at ₹12000 for full house with a security deposit of ₹36000.",Independent House,STUDIO,ejipura,1,0,1,"boys,family",house,250,1,semi_furnished,[],12000,12000,36000,12.94949436,77.62276459,10/7/2023,TRUE
359457,2020,Sumana Nest-109,bengaluru,"Looking for a spacious STUDIO independent apartment for boys and girls at an affordable price in Nisarga Layout, Bengaluru? Then, this is right one for you.",Independent Apartment,STUDIO,nagadevanahalli,2,0,1,"boys,girls",bed,400,1,semi_furnished,[],4500,9000,18000,12.92990685,77.49971008,10/7/2023,TRUE
